category,Statements
happy,esh bar ka summer the best tha
angry,sala chutiya hai log
neutral,I just came back yesterday from California
happy,family ke sat califonia gumane me maza aya
happy,ghar ke sab logo ko thankyou mera sat rhane kaliye
happy,E1 I love ya EICON1
surprise, meri papa ne mere liya bike kharidkhar surprise diya
happy,sab logo ka thankyou mera bday me ane ke liye
happy,EICON1 ko bhaut sare gifts mile bday par
happy,sob ko thankyou
happy,cake kha kar maja aa gaya
happy,aaj mere cute baby ane vala hai hospital se
happy,votho bahut  adorable hai
happy,aaj park me bhaut maje kiya
happy,aaj friends ke sat maja aaa gaya
happy,sub friends ko sukriya
sad,me apni mom ko miss kar rahahu
happy,mumy papa apko mere payar
angry,tume joot khatey huye shame nahi ati
happy,yar yek bar hug kar le yaara
surprise,ya tho badiya chis hai thanks for the gift
happy,me sub ko payar kartha hu
sad,aaj kal din acche nahi chal raha hai
sad,mere confidence day by day kum ho raha hai
happy,aaj kal me apneapuko Aki-sama XD  bula raha hu It's fun
happy,kitna acha country hai yar
happy,kal mera bday bhau ache se mana ya gaya
happy,bhhut din ke bad childwood friends ke sat mil kar kushi huhi
happy,novtel hotel me esbar stay kiya maaja aaa gaya
happy,ghar jada papa ke village me kushi ati hai
happy,Octoberfest bahut accha tha
happy,mere work se sub log kushi hai
happy,aaj friends ke sat maja aaa gaya
happy,tumera luck and hardwork ne kam kardiya tum pass ho gaye
sad,harana start ho gaya
sad,Sadness Dept: Just heard on NPR that Gillo Pontecorvo died
surprise,mera brother ne surprise bday plan kiya mera bday me
surprise,hayran ho gaya gift ko dekhaka
sad,border me sanik mare gaye hai sun kar bhut dukhi huaa
happy,srk se photograph lekar bahut kushi mili
happy,dad ke bday par car psent kiay
happy,yatho fantastic ha yar
happy,yar good goodu goodu
happy,hamri family bahut achi hai
happy,achi bat hai solay remake ho raha hai
angry,tune etana angrying kam kyse kiya
angry,yar tu entnaa angryy mut kar
happy,happy new year sabko
happy,yar tubhi naaa lol
happy,gf ke sat naach raha tha bahu haapy tha yar
happy,tu bada cooooool banda ha yar
happy,ye song muje mast lagati hai
happy,dance aswome tha uske sat gana majedar tha
happy,accha laga tume mil kar
happy,kya kool ha tuu bc
happy,kya kubsurtsi night ti vo
happy,Hahaha haha
happy,kya kubsurtsi night hai
surprise,mushe belive nahi hota vo aa gayi hai
happy,thank you yar
angry,sonu zen yehi bjp h dosto muh se ganda bolne wali party
angry,  hell  i dnt y ppl make assumptions  thrgh dressing style
happy,  wow  Ur so sweet  Kitna pyr krne wala kash mjhe b mil jae
angry,  bhag sala bakwas post update karke tym waste krta hai
happy,  jab tak happy ending na ho to picture abhi baki h mere dost
sad,  HAT BC ye PanOooti mt mara kr re ab dubara mjhe dawai le na pdega
happy,  FOOD security bill pass acchi baat hai Congress k accoeding desh k 80 carore logo k liye  hai
sad,  Nd agree to vikas  gandhi k wajeh se azaadi delay hui thi  guyz pehle puri true history padho thn aakar comment nd confession krna  jaago
angry,  I am ashamed of being in such country where 80 percnt majority has no voice
sad,  aaj din acha nahi that
happy,  aaj din acha tha
happy,  me tuje payar karti hu
fear,  Koi to rok lo ise wrna ye dunya tabah kr dega
happy,   Apne lips pe lipstik ki jagah poison chipka leti to maza ata
fear,   to prblm kya h agr tum log pyr krte o to
sad,   I am from IIT and yahan bhi hostels mein chori hoti hai
happy,   aamir khan ki prem kahani
angry,  Those guys who are cracking jokes on confessor are simply sick
sad,  Kya yaar frst time koi cnfssn padha wo b bkwaas nikla
fear,  bhag bhag re bhag upa narendra modi ji aye
happy,   My best moments at IITB were while peeing standing at the skydeck on 6th floor of H 4  aiming towards some poor chap sleeping on the 4th
sad,  ap use bol q ni dete english m apko thoda problm h smjhegi agr lv krti h to
happy,  U only shared here nd allowd lots of people to make fun of you
happy,  jay prakash ray correct hai sir
happy,  india ki best opening jodi
sad,  yaar tum ladke inne senti krne wale kaam kyu krte ho
sad,  iphone battery backup bakwass hai mut kharidana
happy,  moto g3 acha phone yaa
happy,  funny shayari sms for friends
happy,  ye India hai Boss  proud to be an Indian ;
happy,  arey theek hai  jab parents apko successful dekhengey  at d end  unko ye bhi yaad nahi rahega ki english li thi  so go wd it
happy,  dil ke armaan aansuon mein beh gaye
happy,  wow  admin tune joke crack kiya h
happy,  funny shayari sms for friends
sad,  dil ki tanhai ko awaz bana letay hain lyrics meaning
fear,  Coz pappu cant dance saala  Gucci ka perfume lagata h sala p D
fear,  you are not confident in yourself and dont appreciate yourself
happy,  shikhar dhawan ne banaya record ICC 20 3
happy,  federer french open se bahar breaking news
angry,  really jealous from modi
happy,  He got brave heart
sad,  ricky ponting par ban ICC
happy,  life is beautiful
happy,  pk movie ka review acha thachalo dekhna chale
happy,  esh sem ke marks acha aya
happy,  aaj kal mobiles me development bhaut ho raha hai
sad,  rape case me nahinsaf huva hai
sad,  aunty ki halat thik nahi hai
fear,  nitish keep failure ko darashata hain ki apani janata ki surksha nahi karl sakate
angry,  koi BC ye btaega ki BC gali h ya nhi
angry,  bloody idiot confessor
angry,  Idiot abey itna confuse toh koi ek tarfa aashiq bhi nahi hota  itna MAYBE hi karna tha toh confession hi kyu daala  beer ke baad pauua pi ke soja ta
angry,  what nonsence is this pyar k liye parents ko choro
happy,  good luck
happy,  keep smiling
happy,  good night dosth
happy,  indira awaas yojana popularity
fear,  Sometimes parents r like dissatisfies with their one son
happy,  Dont be so sure  For all you know  his webcam may be on and you may be famous on youtube already
happy,  Finally SOMEONE who thinks the way I do  Whoever you are  You're awesome
sad,  so sad yr   prents supprt ni krnge t or kaun krega
happy,  mene sirf suna h south aacha
happy,  aaja nachle music release huva hai and its too good
sad,  nw new  is congress party desh ko loot k kha jao yojna P
happy,  so stay cool n conc on studies
angry,  Admin aap chutiye ho  ABVP wale paise de rahe hain kya unko promote karne ke liye  and this page shud be renamed as DELHI UNIVERSITY ABVP CONFESSIONS  going to unlike this page
happy,  superb  this iz known as maintaining the standards  thums up to admin  -
angry,  coke drinking gandhi hai dnt drink guys
happy,   rastey me yek ladaki ko dekha payar me gir gaya
angry,  log chutiya hogaye hai ladaki bache ko road ke side me kill kardiya -
happy,  rang de basanti achi movie hai
sad,  zindagi ne zindagi bhar gam diye
sad,  Some poor IITians have had to wait several years after IIT to score
sad,  emosanal atyachar
sad,  articipation certificates de do tum dono wrna bachhe tumhara mazak bna denge
angry,  jo boy sex tak phuch jae wo pyar ni kar skta
angry,  90% Indians are idiots ~ Markandey Katju   Considering the facts that we have been voting Congress to power for 60 years out of 66 after independence and Chennai Express is our highest grossing movie ever in the history of Bollywood  I'd say justice katju made quite a sensible prediction
angry,  chuthia sala zzX pak team har gea to teri garme jalan horahahe rahi hai na garme ice lagake so ja santi milega
angry,  sabse badi galti to defence k bande ko bf bnakar ki
angry,  phuket tourism ke honeymoon offers
angry,  lol  so bad wid u  kbhi dimg se b kaam liya kroo
neutral,  ustad bismillah khan shehnai free download
neutral,  In a plane on the way to Bombay after a few years  I'm gonna be walking around aimlessly sometime in the next couple of days
angry,  dnt thinking abt her  bhad me jane do  p
neutral,  Ya darling  M too dsprately waiting for u
happy,  preity zinta ke gaal pe dimple acche lagtey hai
happy,  jab we met  cool  MOVIE HAI
angry,  I agree  but I would say 90% of humans are Idiots
happy,  Hatts off for their efforts    Ek apni army hi hai jiske dil me desh prem jinda h
happy,  ek din tum bahut bade banoge ek din composer
sad,  Seema sun nahi sakti
angry,  What ' wrong vd diz page 2day  kuch bi post kr de rahe hai  Confessions kaha gae
happy,   somethings enjoy their status because of the status they earned in the past  Thatz wat DU is all about
happy,   kaisa tera pyaar song acha hai sune keliya
happy,   Gandhinagar me achhi dance class
angry,   teen teen lakiyo o love karne me sharam nahi ayi kya
angry,   Abe dhkan  3 idiot thodena chal rhi h  ki kuch bi bkwaas krega or job mill jayegi  Dat ws just a normal ques  D
fear,   He got brave heart
sad,  ricky ponting par ban ICC
happy,  It's a India mushe garav hai ki I am Indian
angry,  Ol those jerks  jo India me rhte h  India ka khate h  fir b by heart Indian nhi h  /
happy,  Tell her to be ur frnd first make ur frndship strong  Best of luck
sad,  practical karne ke baad b practical ke no  ni miley
angry,  Bloody Government Karmachaari- sorry apke jo chance the wo bi khatam  Tum bi jao pardesh s
neutral,  us ko chappal say marna tha  slap should be jus ta tailor  picture toh chappal kha kar dikhai de ti
angry,  Wo anath h jo tujse kharche karwati h  BC cant undstand ds fuckng habit of sm gals  Frustatd
angry,  This admin is a mentaly chalenged guy jo itna bi diffrnce ni smaj pa rha ki jayram ramesh ne kya kha tha or modi ne kya kha h
sad,  kya h ye  aaj se pehle english itni confusing nai thi  P
angry,  mamo  iss baar v jo congress ko vote de diya  usse bada chutiyaa koi nhi hoga
sad,  I am a  9 year old guy  Well  the whole thing is that   my parents don't like me at all
sad,  Class 2 me to 99% adhe class ko ate h  Tu sach me mature nhi h
sad,  Yr kya chahte ho tum log  hum log khudkhusi kr le kya
sad,   log love me pagal ho jatey hai ki unuko uneki family ke bareme nahi sochatey
neutral,   bs kr yr  paka k rkh dia admin tune subh se / ab nind b ni arai pakne k kaaran / sapno me b mirInda waali aengi p
happy,   desh mere desh mere meri jaan hau tu
happy,   bhagwan esi gf sb ko de  par start mjhse kre p
sad,   this is lesson for u  ab kabhi nahi karega help ab jab bhi aisa hoga tu bhagega
happy,   Bathroom me ek boy ne ladki ko har jagah touch kiya poore badan me kiss kiya Guess who was dat boy  it was lifeboy  for more jokes  like dis page
neutral,   olive oilbhaut kam attha hai
happy,   mere desh ki dharti sona ugle heere moti movie
sad,   Bad Times Of India
happy,  ï»¿sehwag aur sachin ki opening jodi jabrdast aur damdar hai
happy,  chal be pehle widout fuel se chalne waali gadi bna fir proud iitian feel krna
angry,  Mummy tea me masala daal dena is cnfsr ne paka diya
neutral,  You've gotta dance like there's nobody watching  Love like you'll never be hurt  Sing like there's nobody listening  And live like it's heaven on earth
happy,  sirf SALWAAR  Abe aese to hr ldki achi lgegi  p or sweating b hogi he
sad,  sex  passionately hona chayiye  vrna position to fielder bhi change karte h
neutral,  bhagwan vishnu ke  0 avatar dharam stapati keliye huva hai
angry,  ary u r sch a dmb guy
neutral,  Give yourself time not some time but a lot of time
sad,  sonu garg sir jindgi kasi hai pahali haye kabhi ye hasaye kabhi ye rulaye aaj hame rona pada
sad,  indian roads acha nahi hais
angry,  us ko chappal say marna tha  slap should be jus ta tailor  picture toh chappal kha kar dikhai de ti
angry,  Wo anath h jo tujse kharche karwati h  BC cant undstand ds fuckng habit of sm gals  Frustatd
angry,  This admin is a mentaly chalenged guy jo itna bi diffrnce ni smaj pa rha ki jayram ramesh ne kya kha tha or modi ne kya kha h
sad,  kya h ye  aaj se pehle english itni confusing nai thi  P
angry,  mamo  iss baar v jo congress ko vote de diya  usse bada chutiyaa koi nhi hoga
sad,  I am a  9 year old guy  Well  the whole thing is that   my parents don't like me at all
sad,  Class 2 me to 99% adhe class ko ate h  Tu sach me mature nhi h
sad,  Pehle khud legal certificate dikha k kehte ho hum to bhaiya SC he aur jab dusre tumhe SC bole  jo k tum sach me ho  to bura kyu lagta he
happy,  mere jindagi me bahut ache frds hai
happy,  tere jaisa yaar mujhe nahi milaga
angry,  laufed  first u hav to correct ur english baad me sochna use
angry,  cut off with them  negative ppl ll only  c ur negative traits  be wit ppl who likes u n doesnt look down upon u
angry,  agar izzat nahi rahi to ucchalo bhi mat yaar
angry,  abe admin kyun neend bhaga rha hai logo ki aise posts daalke
fear,  Dont worry tumhe b koi virgin pati nhi milne waala
sad,  today I need a OLD MONK  india ki lagi pdi hai  peeke dekhne pe sb acha acha lgega
fear,  Lettr to jayega ghr pr  n dn u have to cm to univrsty  tmhare baki k xam b cncl ho skte h  may b  bt jisme umc bni usme to pkka h
happy,  aamir khan dhoom 3 naya Movie bhahut collection kiya hai
sad,  hgya kabada  sis bro ke relation ko to baksh dete yaar  chal chodo tmhare galti ni hai  harmonal disorder hai dono me p
angry,  BC admission karwane gaye the ye kbc kbc khelne
fear,  jab koi bat bigad jaye done ke bich me tho correct karni chayiye
sad,  humhe to loot liya milkar husn valo ne sonakhsi ke galo ne ranveer ki bato ne
fear,  beta kuch din bd rakhsha bandhan aane wala hai  bhul k v mat park mai jana
neutral,  Bengaali tha saala
sad,  But abhi bi meri pyaari si crush ki foto hai mere paash hao
happy,  Mere chehre par ek badiii si smile hai kyu na ho meri crush khadi thi mere saath
happy,  well jo b hai i liked her
angry,  Bhot cutie thi vo ladkii
happy,  Mera cmmnt like kro aur aap jeet skte h diamond ring  gold chain  maruti ertiga  a holiday to du
angry,  Bas tum ye karo ki usey bhool jao    coz m sure that he'll again cheat u
angry,   tu ni manega logo ko kese ladwate hn apas me tune modi se sikha
happy,   classic movies thi dekha kar acha laga
happy,  salman and srk dekho aour cricket match ko enjoy karo
happy,  gayatri mantra ko english translation acha kiya hai sub ko sumjeme ayagaa
fear,  i mean itni insecurity k saath m kaise jeeu
fear,  mai bohot confuse hu
happy,  bs yehi chiz hmare relationship ko bigad rhi thi
fear,  hmari har ladai issi topic ko lekr hoti thi hmesha
fear,"  DIL KE SATH DIMAG KI BHI SUNNA\ "" GOOD LUCK"
sad,  true love ka koi relation nahi
sad,  me tuje payar nahi karthi hu
sad,  BSNL broadband ki shikayat aaj kal jada ho rahi hai
sad,  agar sach main pyar kiya hota to gifts k liye rote nahi
angry,  india me sbse jyada crption aur justice k sath khilwad bihar me hi hota hai
happy,  india ki govt aaj kal acha kam kar rahi hai
sad,  logo ko dusro ki life n unki prblms me itna intrst kyu hota he
happy,  Har parents apne bicho ka aucha sochte hai
angry,  Bc apni bahaduri to aise poet ke form me suna rahi hai jaise teer maari
sad,  Modi is the best  Rahul is maha Chore
angry,  chuthia sala zzX pak team har gea to teri garme jalan horahahe rahi hai na garme ice lagake so ja santi milega
fear,  sabse badi galti to defence k bande ko bf bnakar ki
sad,  phuket tourism ke honeymoon offers
angry,  lol  so bad wid u  kbhi dimg se b kaam liya kroo
neutral,  ustad bismillah khan shehnai free download
neutral,  In a plane on the way to Bombay after a few years  I'm gonna be walking around aimlessly sometime in the next couple of days
angry,  dnt thinking abt her  bhad me jane do  p
neutral,  Ya darling  M too dsprately waiting for u
happy,  preity zinta ke gaal pe dimple acche lagtey hai
happy,   desh mere desh mere meri jaan hau tu
happy,   bhagwan esi gf sb ko de  par start mjhse kre p
angry,   this is lesson for u  ab kabhi nahi karega help ab jab bhi aisa hoga tu bhagega
happy,   Bathroom me ek boy ne ladki ko har jagah touch kiya poore badan me kiss kiya Guess who was dat boy  it was lifeboy  for more jokes  like
neutral,   olive oilbhaut kam attha hai
sad,  frnshpday wale din b love wale cnfsns :/ hadd hae yr !! love k elawa kch dikhta ni kya
sad,  Confessor ye padke ankho se ansu hi agaye . Teri kasam agar hume b aese fuche miley to chun chun ke ragging lenge
sad,  yes . life is very difficult 4 GC ..   tym aisa aane wala ST SC chief minister hoga n bechara topper general rikshaw chalayega ....
happy,"  short me bolna tha \ "" i lv u dad\ "" ho gaya .. itna lammmmbbbbbaaaaaa"
neutral,  kch to lg kahenge .. logo ka kaam h kehna .. tu dhyn mt de unpe yar .. b brave n cnfdnt .. failurez r d pillarz f success
neutral,  pehenne se luxurious car mein ghmne se koi intlgnt nai bnta h
fear,"  u hv got such a sharp communication skill dude .. chill maar , neva loose hope , b brave , kp smylin"
happy,"  ki fkr na kr , jo tje khushi de n tre parentz ko , tu wai kaam kr"
fear,  in cheezo se bahar nikl k dekho aur b bht kuch h life m
neutral,  bhaiya h to sach bt bht bda h yr pdhte pdhte neck pain hone lgi ...
sad,  dude .. just move on !!! she never deserved you
sad,"  bdhya kia , n i thnk us ladki ne 2hr . Chudaai krva ke bill pe kia hoga . Bechari ki choot to fat gayi ."
sad,  r pehli baat hume kisi pe b trust ni krna chaiye chahe
sad,  aisi gals hai jo boys k meethe meethe baaton me fus jaatin hai aur aisa kaam ho jaata hai
angry,  pataao sataao hataao ... aisi ladkiyo k sath to bs yhi treatment dna ..
sad,  modi ki eid wishes controversy
angry,  yaar confess karte ho ya torture ... itna bada bada confession :/
sad,  Bhai ab to tu support kar parents
happy,  pyar pyar pyar chahiye thoda pyaar thoda pyaar chahiye jaaneman gulbadan meri baat maaniye
neutral,  Kadr us chabi ki hoti h jo hr taleey ko khol de na ki taleey ki jo hr chabi se khul jaye .. bete ..
sad,  ye aunty's aise kaan bharti rehti h dusro k baare me
angry,  aadhe cmment krne vale kitne chutiye hote hai jinhe pakau ya long cnfesn nd ek must read cnfesn me difrnce hi ni pta
surprise,  crazy kiya re song me aswariya ne kitana fadooo dance kiya
happy,  yar me apne college ki ek ladki ko bahut pasand karta hu ... wo bht sundar h ... m smart too
happy,  jo ho gya so ho gya babu  ek achhi n hppy life start kr
angry, Admin and confesor dono hi dunia k sabse chutiya insaan hai
happy,  chal jo bhi ho   god bless u   t c n try 2 be happy
surprise,  sabse achha laptop tera hai
angry,  Chutiyen hoten hai vo log jo state ke naam par divide kar rahen hai INDIA ko we are INDIANS and I m proud to be an INDIAN
neutral,  Ek 6 sal pahle thi o mujhe chor ke chali gai kahne lagi ap ko gift to dete hi nahi
sad,  Tera pyarr real hota to second time tujhe pyar nahi hota  Think about it  >
happy,  ayurveda ke ke acha madicin hotey hai
angry,  yr  short main bhi samjh ata hai  kyu pakate ho
neutral,  Just Concentrate on ur study   God bless u
angry,  n here goes my last wrds   itna ghatiya cnfsn padh ke jee krta h mar jau   bt gandalf = Y
sad,  Mr  Aap se b kch nahi hoga   even they are corrupted too
fear, Suicide kr lega DU ka chairman   after reading ths   Plz tell me   Kya sch me du ki cut off 99 h ? o O iska admsn kaise hua ? Itni gr8 english ! >_<
fear,  maa ko fb ki btayega to khud ki jhnd payega don't angry her
angry,  Bc main 20 saal ka ho gya ek bi gf nai aur tne 4th me hi bna li kamine
neutral,  garmi me dhoop se kaise bachene keylia nariyal pani pina chahi ye
sad,  d guy cmmtd suicide   ye nhi dikh raha kisi grl ko    thnk abt d crcmtances
happy, itne hi achhe frnds hain na agr ye log tere toh tu apna naam bi bta deta inhe  _
angry,  Bc ye ldkiya b na  hr jagah drar padane m lgi rehti h   ghr todti rehti h
happy,  i love you hindi shayari
angry, pahle yeh bata bc ki teri frnd rqst acpt karne ke baad bhi uska msg tere other folder me store hua ?
happy,  hats off to them  Aaj jo thodi bht azaadi h wo sirf in jaise deshbhagto ki wajah se   RESPECT
angry,  kaun sa prfume use kiya tere cousin ne jo tu attract hokr sidha bed pe chali gyi  ???
sad,  Hindu ladka   <3   Muslim ladki   Caste system    Bdi nainsaafi h  v   /
neutral,  evry clg z gud n if it z nt dn make it if u hv d potntial
angry,  Itna overrct karne ki kya jarurat thi  N what aukat ???? Its juz ur bloody mindset up   Moron u r
sad,  Bs kroooooo subah se pd ri hunnnn boreeee may be itz a lyf confession P
angry,  raina and jadeja fight with each other aur tumhe kiss ki padi h
happy,  bhagwan jadhav ram ram babugi beautiful
fear,  Ladki achi honi chahiye virgin to mobile network bhi hota h
fear,  Or tb bhi prblm solve na ho to change ur gf
happy,  i wanna be ur friend dear u r so sweet  send me friend request if possible
fear,  na ye party kabhi bani hoti na india ka partition hota nd na hi humari country itni khokhli hoti @
happy,  Pine k bad admi hamesha sach bolta h  I agree admin katrina's best mvi is BOOM ;   P
sad,  Hello koi mere se frndship krlo mere se hor singel nai raha jata
sad,  bhai aise kam kyu krtay ho kbi kbi meri maa b baithi hoti hai side mai
happy,  Tera post aur madhur bhandarkar ki movies ek jaisi hai  a good one but noone will apprehend
sad,  christian dharma ke vivah vidhi
sad,  don't worry din me sara ishaq mushaq ka bukhaar nikal jayega
sad,  Tension mat lo dosto  thode din baad iska break up wala confssion bhi ayega  pakka
happy,  Aww my daddy is best too  I love my paa
happy,  I kissed my gf under Eiffel tower something great to remember for rest of my life We both are from IITB
happy,  sholay mein basanti ka naach must tha
fear,  Rahul Gandhi Campaning In Gujrat Elections is Like Rajpal Yadav Trying To Win Over Angelina Jolie From Brad Pitt
sad,  Kya black ladkiyo ko b swiss bank meh bnd kiya gya hai
angry,  Saale gandhi aur congressi ko support karoge toh yahi hoga na !
sad,  aese mat bol yar kuch aisa kar k dikha k tere parents khud khe k ye hmari beti h
happy,  hahaha muje aaj he pta chla tht he z a batsman basicaly
happy,  acha hua gf ne chod diya   ab tera wakt kuch useful kamo me lagega
fear,  hum sahi tym par aa gye du mein is saal to lag jati
neutral,  Haha kitna show off karega met so many gurlz even got many proposal aisa hota toh tu dp dekh ke laundiya patane ki nhi sochta
angry,  modi kuch bole wo sb sahi ho jata h   bt agr koi aur politician kuch achcha bi bol de toh sare bjp wale uspr attack kr dete h
happy,  Socha to tha treat du bt torture nikla   lol
happy,  Mera first kiss to Sunny Leone ke poster ke saath tha  '
sad,  in topics ki utni value nhi h jitni unemployment   corruption ki h   admin is a fool
sad,  kb tak indian hokr bi girls ki bezti krte rhoge hm
angry,  BC itna time agar koi padhai kare bajaye ye dialogue padhne ke toh DU mein admission mil jaaye
happy,  india ka naya super hero krrish
neutral,  me sochta hu log itne talented comments kaise marte h ? /
happy,  tomr kehna kya chahti ho ? There r loads of happy lovers agar nok jhok naa ho to rishte me maja kaise aaega ??
happy,  deepika padukone bani sabse achi abhinetri
sad,  Dur se haat hila do wo hasi to pati aur agar nhi hasi to try another
sad,  Enjoy your place man   there are hell lots of people who are wishing to get into IIT but do they succeed ??
happy,  Ranjhaana movie to mast thi
angry,  pr tune ye kya bakwas likha h
sad,  u dont deserv a gud bf   u deserv such behvr   shrab jesi chez ko hath lagati ho apne bf ki sachai janne k liye
happy,  Proud to be a bihari   sale kilaste h sb bihario se qk hum h hi extraordinary
fear,  situatn itni buri ho gyi h k nw indian men r tagged as rapists
fear,  India has never defeated Pakistan in Champions Trophy hope aj krde
fear,  Bhai cnfs ye mera nmbr cal kr m lagwata hu teri job bt suicide na kr pls
fear,  aap dobara yha glti se b confess na krna  acc to u sirf aap me hi moralss h baki dunia to chu h
happy, awesome movie hai yaar
neutral, bade ho gaye dono  if you know what i mean !!
happy, Acha complan ka kamaal hai ye
neutral,"  gautam ladka baut bAADIYA hai bhi shi gme khel rha hai yeh.....karishma aur dyndra toh saali chudel hai ,,,,aur arya aur upen napunsak....."
neutral, Gautam we r with u  & Karishma aunty aka nautanki aukaat me raho bht ho gya apni behna dayan ko lo aur chalti bano yahan se ....
neutral,   Jo ye krta h use heropanti ni chutiyapanti kehte h
neutral, Jeb khali ho to tbhi sapne dkhne chaiye taki jeb bhar jane par sapno ko sch kiya ja ske mre bhai
neutral, australia pe laga dijie bhabhi ke cangan aajayengey
neutral, Mein Tere Mein Tere Kadmon Mein Rakh Du Yeh Jahan......
neutral, Pehle ye bol tu kiski hai?
neutral,  Abe before the complition kaha se aa gaya.... meh toh yai 4din pelhe hi keecha hu!!!!
neutral, boliye meri cutiee maasi
happy, Oye mera cutie baby
neutral,  P le re dimak thanda ho jaega
neutral,"Mai faclulty k get k pas hu , ldkiya tar raha hu"
neutral,hey aanewaala kal basa le aaj ki nigaah mein lyrics
neutral,sach ka saamna vinod kambli full episode download
neutral,aaj to mera tan badan music release
neutral,mahfil mae baar baar oonpe nazar gayi singer
neutral,aap dobara yha glti se b confess na krna .... acc to u sirf aap me hi moralss h baki dunia to chu h
neutral,yaaro jee bhar ke jee le pal music release date
neutral,thankgod me bach gai waheguru thnkjuu sare engineer dhakke kha rahe hai ajkal kutto ki tarah .. 3 lo sci na na llo or lo
neutral,I bet this confession was posted by the Matki chick herself ... the way some pathetic women send themselves flowers at work ! LoL
neutral,I don't think its an official site but hey ! it's hacked and not so kind message for Gandhi family :D . http://www.rahulgandhi.net.in/
neutral,new york stock exchange ke dainik bhaav
neutral,"tum ple aisa mat kro , tumhare liye bahut difficult hoga apne ghr mai batana bt u hve to do tht ple .. tum cmmnt b nh pad rhe hoge , ple admin aapko toh pata hoga ye kaun h aap toh kuch kar skte ho isse phele woh koi galat step le please ... thts my rqust ple"
neutral,padai likhai sb bhad mai gyi phele kiss karlo bus :p kitni %age ayi beta apki 12th mai ?
neutral,Keh ke leli sbne tumhari .... :P feel pity 4 u . :D
neutral,pyar se pukar lo jahaan ho tum mp3
neutral,gujarat government se aarakshan ki maang gujjar
neutral,dard bhi hame kabool chain bhi hame kabool humne har tarah ke phool haar mein piroliye song release
neutral,tum dil ki dhadkan mein mp3
neutral,dhoni nay apeal kar di last odi india shift kar dain
neutral,right ... DU's sytem sucks ... bc result hi ni aya abi tk
neutral,chura liyahi tumne song composer
neutral,whn u dnt hve any felngs fr him toh hn kyu kiya use jyda pgl toh tum ho shyd
neutral,teri desires m bf h tbi to shadi krana chahte h
neutral,makki di roti sarson da saag punjab bhaag milkha bhaag
neutral,tujhpe qurbaan meri jaan youtube
neutral,bhai uth khada ho dekh fir tu kya karta hai kar itna khud ko itna buland k zamana tere kadmon mein gira padta hai
neutral,wind in :P . totaly crazy ....!. india m sirf yahi ho rha h kya aajkal !. jo bilkul e vehle hote hein . aaj jate hein DUC pe cnfssn karne - !. stop nonsense ol dis !
neutral,India vs Pak ka match world cup final match se b jyda maja deta h
neutral,chehra hai ya chaand khila hai music release date
neutral,hyderabad ki nawabi biriyaani
neutral,o'connor monday?
neutral,anyway
neutral,I'm kinda in that zone now
neutral,I don't know why